"","SeqId","TargetFullName","Target","UniProt","EntrezGeneSymbol","Units","Dilution","PlateScale_Reference","c"
"577","11967-23","Cellular retinoic acid-binding protein 1","RABP1","P29762","CRABP1","RFU",20,"1431.4","CRABP1.11967.23"
"578","11969-5","Protein S100-A2","S100A2","P29034","S100A2","RFU",20,"417.7","S100A2.11969.5"
"580","11988-24","Receptor-type tyrosine-protein phosphatase H","PTPRH","Q9HD43","PTPRH","RFU",20,"1078.6","PTPRH.11988.24"
"581","11989-35","ER membrane protein complex subunit 1","EMC1","Q8N766","EMC1","RFU",20,"581.0","EMC1.11989.35"
"583","12001-7","Tight junction protein ZO-1","ZO1","Q07157","TJP1","RFU",20,"692.2","TJP1.12001.7"
"584","12008-3","T-cell antigen CD7","CD7","P09564","CD7","RFU",20,"2403.5","CD7.12008.3"
"586","12014-19","6-pyruvoyl tetrahydrobiopterin synthase","PTPS","Q03393","PTS","RFU",20,"453.0","PTS.12014.19"
"587","12016-60","E3 ubiquitin-protein ligase CBL","CBL","P22681","CBL","RFU",20,"4440.9","CBL.12016.60"
"588","12018-84","Thiamin pyrophosphokinase 1","TPK1","Q9H3S4","TPK1","RFU",20,"842.6","TPK1.12018.84"
"589","12020-39","Bisphosphoglycerate mutase","PMGE","P07738","BPGM","RFU",0.5,"810.8","BPGM.12020.39"
"590","12022-12","Mothers against decapentaplegic homolog 4","SMAD4","Q13485","SMAD4","RFU",20,"289.7","SMAD4.12022.12"
"591","12033-3","Mitotic checkpoint serine/threonine-protein kinase BUB1","BUB1","O43683","BUB1","RFU",20,"412.8","BUB1.12033.3"
"592","12041-33","Heat shock 70 kDa protein 1-like","HS71L","P34931","HSPA1L","RFU",20,"973.1","HSPA1L.12041.33"
"593","12046-51","TAR DNA-binding protein 43","TADBP","Q13148","TARDBP","RFU",20,"555.3","TARDBP.12046.51"
"594","12329-21","Ribosomal protein S6 kinase alpha-1","KS6A1","Q15418","RPS6KA1","RFU",0.5,"267.7","RPS6KA1.12329.21"
"595","12332-7","Eukaryotic elongation factor 2 kinase","EF2K","O00418","EEF2K","RFU",20,"3532.8","EEF2K.12332.7"
"596","12333-87","Ribose-5-phosphate isomerase","RPIA","P49247","RPIA","RFU",0.5,"784.5","RPIA.12333.87"
"597","12334-25","Serine hydroxymethyltransferase, cytosolic","cSHMT","P34896","SHMT1","RFU",20,"341.5","SHMT1.12334.25"
"598","12338-27","Pikachurin","EGFLA","Q63HQ2","EGFLAM","RFU",20,"7556.9","EGFLAM.12338.27"
"599","12340-17","Alanine--tRNA ligase, cytoplasmic","SYAC","P49588","AARS","RFU",20,"1483.7","AARS.12340.17"
"600","12341-8","Dual specificity protein phosphatase 6","DUS6","Q16828","DUSP6","RFU",20,"1797.4","DUSP6.12341.8"
"601","12343-14","Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2","CENB2","Q15057","ACAP2","RFU",20,"671.0","ACAP2.12343.14"
"602","12345-4","Anaphase-promoting complex subunit 10","APC10","Q9UM13","ANAPC10","RFU",20,"723.3","ANAPC10.12345.4"
"603","12347-29","Cerebral cavernous malformations 2 protein","CCM2","Q9BSQ5","CCM2","RFU",20,"3198.5","CCM2.12347.29"
"604","12348-46","Serine--tRNA ligase, mitochondrial","SYSM","Q9NP81","SARS2","RFU",20,"851.0","SARS2.12348.46"
"605","12350-86","Protein C-ets-2","ETS2","P15036","ETS2","RFU",20,"1364.8","ETS2.12350.86"
"606","12352-70","Arrestin domain-containing protein 3","ARRD3","Q96B67","ARRDC3","RFU",20,"1343.7","ARRDC3.12352.70"
"607","12355-223","Ribosome-recycling factor, mitochondrial","RRFM","Q96E11","MRRF","RFU",20,"1322.1","MRRF.12355.223"
"608","12356-65","Sorcin","Sorcin","P30626","SRI","RFU",20,"1420.2","SRI.12356.65"
"609","12357-41","Synaptosomal-associated protein 29","SNP29","O95721","SNAP29","RFU",20,"1205.1","SNAP29.12357.41"
"610","12358-6","Immunoglobulin-binding protein 1","IGBP1","P78318","IGBP1","RFU",20,"2855.2","IGBP1.12358.6"
"611","12361-102","Ras-related protein R-Ras2","RRAS2","P62070","RRAS2","RFU",20,"728.4","RRAS2.12361.102"
"612","12363-70","Tribbles homolog 2","TRIB2","Q92519","TRIB2","RFU",20,"1018.5","TRIB2.12363.70"
"613","12365-108","RuvB-like 1","RUVB1","Q9Y265","RUVBL1","RFU",20,"1792.3","RUVBL1.12365.108"
"614","12366-16","Gamma-crystallin D","CRGD","P07320","CRYGD","RFU",20,"388.1","CRYGD.12366.16"
"615","12367-52","Macoilin","MACOI","Q8N5G2","TMEM57","RFU",20,"117.3","TMEM57.12367.52"
"616","12368-18","Histone acetyltransferase KAT2B","PCAF","Q92831","KAT2B","RFU",20,"329.9","KAT2B.12368.18"
"617","12370-30","Apolipoprotein F","Apo F","Q13790","APOF","RFU",0.5,"11047.3","APOF.12370.30"
"618","12373-73","Transformer-2 protein homolog beta","TRA2B","P62995","TRA2B","RFU",20,"1935.4","TRA2B.12373.73"
"619","12374-8","Platelet-activating factor acetylhydrolase IB subunit gamma","PA1B3","Q15102","PAFAH1B3","RFU",20,"3686.1","PAFAH1B3.12374.8"
"620","12376-85","Cyclin-dependent kinase 4 inhibitor D","p19-INK4d","P55273","CDKN2D","RFU",20,"885.3","CDKN2D.12376.85"
"621","12378-71","Tapasin","TPSN","O15533","TAPBP","RFU",20,"3201.8","TAPBP.12378.71"
"622","12381-26","Carbonyl reductase [NADPH] 1","CBR1","P16152","CBR1","RFU",20,"2848.0","CBR1.12381.26"
"623","12382-2","Probable ATP-dependent RNA helicase DDX58","DDX58","O95786","DDX58","RFU",20,"688.3","DDX58.12382.2"
"624","12384-92","COP9 signalosome complex subunit 7b","CSN7B","Q9H9Q2","COPS7B","RFU",0.5,"2644.3","COPS7B.12384.92"
"625","12385-4","Calpain-3","CAN3","P20807","CAPN3","RFU",20,"4546.3","CAPN3.12385.4"
"626","12386-11","Aminopeptidase B","AMPB","Q9H4A4","RNPEP","RFU",20,"11799.4","RNPEP.12386.11"
"627","12387-7","PDZ and LIM domain protein 4","PDLI4","P50479","PDLIM4","RFU",20,"497.1","PDLIM4.12387.7"
"628","12389-4","Origin recognition complex subunit 6","ORC6","Q9Y5N6","ORC6L","RFU",20,"1079.6","ORC6L.12389.4"
"629","12391-27","PDZ domain-containing protein 7","PDZD7","Q9H5P4","PDZD7","RFU",20,"354.6","PDZD7.12391.27"
"630","12392-30","ADP-ribosylation factor-like protein 1","ARL1","P40616","ARL1","RFU",0.5,"1279.9","ARL1.12392.30"
"631","12394-53","Transmembrane protein C16orf54","CP054","Q6UWD8","C16orf54","RFU",20,"506.4","C16orf54.12394.53"
"632","12395-86","Aspartate--tRNA ligase, mitochondrial","SYDM","Q6PI48","DARS2","RFU",20,"897.4","DARS2.12395.86"
"633","12396-19","3-hydroxyisobutyryl-CoA hydrolase, mitochondrial","HIBCH","Q6NVY1","HIBCH","RFU",20,"658.3","HIBCH.12396.19"
"634","12398-15","Paired box protein Pax-4","PAX4","O43316","PAX4","RFU",20,"370.7","PAX4.12398.15"
"635","12399-194","Coiled-coil domain-containing protein 50","CCD50","Q8IVM0","CCDC50","RFU",20,"835.9","CCDC50.12399.194"
"636","12400-25","Ubiquitin-conjugating enzyme E2 T","UBE2T","Q9NPD8","UBE2T","RFU",20,"584.1","UBE2T.12400.25"
"637","12401-3","AMSH-like protease","STALP","Q96FJ0","STAMBPL1","RFU",20,"1099.9","STAMBPL1.12401.3"
"638","12403-30","Ras-related protein Rab-39B","RB39B","Q96DA2","RAB39B","RFU",20,"1297.1","RAB39B.12403.30"
"639","12406-119","GTP-binding protein Di-Ras3","ARHI","O95661","DIRAS3","RFU",20,"963.0","DIRAS3.12406.119"
"640","12408-333","Ras-related protein Rab-22A","RB22A","Q9UL26","RAB22A","RFU",20,"653.0","RAB22A.12408.333"
"641","12409-90","Ras-related protein Rab-7b","RAB7B","Q96AH8","RAB7B","RFU",20,"917.5","RAB7B.12409.90"
"642","12411-60","Protein max","MAX","P61244","MAX","RFU",20,"566.7","MAX.12411.60"
"643","12415-122","Endothelial differentiation-related factor 1","EDF1","O60869","EDF1","RFU",20,"2217.6","EDF1.12415.122"
"644","12417-46","EKC/KEOPS complex subunit TPRKB","TPRKB","Q9Y3C4","TPRKB","RFU",0.5,"1035.5","TPRKB.12417.46"
"645","12422-143","Arachidonate 15-lipoxygenase B","LX15B","O15296","ALOX15B","RFU",20,"1362.5","ALOX15B.12422.143"
"646","12423-38","APOBEC1 complementation factor","A1CF","Q9NQ94","A1CF","RFU",20,"1639.7","A1CF.12423.38"
"647","12424-107","Thymocyte nuclear protein 1","THYN1","Q9P016","THYN1","RFU",20,"497.5","THYN1.12424.107"
"648","12425-104","ADP-ribosylation factor 6","ARF6","P62330","ARF6","RFU",20,"1214.2","ARF6.12425.104"
"649","12426-19","MOB kinase activator 1A","MOL1B","Q9H8S9","MOB1A","RFU",20,"2917.0","MOB1A.12426.19"
"650","12427-8","M-phase inducer phosphatase 2","MPIP2","P30305","CDC25B","RFU",20,"3206.0","CDC25B.12427.8"
"651","12428-2","Lysophospholipase-like protein 1","LYPL1","Q5VWZ2","LYPLAL1","RFU",20,"859.8","LYPLAL1.12428.2"
"652","12430-78","Polyadenylate-binding protein-interacting protein 1","PAIP1","Q9H074","PAIP1","RFU",20,"863.7","PAIP1.12430.78"
"653","12431-13","Protein pelota homolog","PELO","Q9BRX2","PELO","RFU",20,"2104.2","PELO.12431.13"
"654","12432-23","Calcyclin-binding protein","CYBP","Q9HB71","CACYBP","RFU",20,"1150.4","CACYBP.12432.23"
"655","12433-8","ADP-ribosylation factor-like protein 11","ARL11","Q969Q4","ARL11","RFU",0.5,"3929.1","ARL11.12433.8"
"656","12434-25","IST1 homolog","K0174","P53990","IST1","RFU",20,"1612.1","IST1.12434.25"
"657","12436-84","Glutathione S-transferase omega-1","GST omega-1","P78417","GSTO1","RFU",0.5,"2921.0","GSTO1.12436.84"
"658","12437-18","Serine/threonine-protein kinase ULK3","ULK3","Q6PHR2","ULK3","RFU",20,"454.6","ULK3.12437.18"
"659","12438-127","DNA-3-methyladenine glycosylase","3MG","P29372","MPG","RFU",20,"358.2","MPG.12438.127"
"660","12439-67","Interferon regulatory factor 9","ISGF3","Q00978","IRF9","RFU",20,"405.4","IRF9.12439.67"
"661","12442-4","Rho-related GTP-binding protein RhoD","RHOD","O00212","RHOD","RFU",20,"362.8","RHOD.12442.4"
"662","12444-39","Nuclear receptor subfamily 5 group A member 2","NR5A2","O00482","NR5A2","RFU",20,"488.1","NR5A2.12444.39"
"663","12445-50","Ankyrin repeat domain-containing protein 27","ANR27","Q96NW4","ANKRD27","RFU",20,"856.2","ANKRD27.12445.50"
"664","12449-16","Peptidyl-prolyl cis-trans isomerase H","PPIH","O43447","PPIH","RFU",20,"718.5","PPIH.12449.16"
"665","12450-42","Phosphomevalonate kinase","PMVK","Q15126","PMVK","RFU",20,"802.8","PMVK.12450.42"
"666","12451-62","Transcription regulator protein BACH1","BACH1","O14867","BACH1","RFU",20,"1675.8","BACH1.12451.62"
"667","12452-32","Histone-lysine N-methyltransferase SUV420H2","SV422","Q86Y97","SUV420H2","RFU",20,"956.8","SUV420H2.12452.32"
"668","12453-161","Nuclear RNA export factor 1","NXF1","Q9UBU9","NXF1","RFU",20,"379.9","NXF1.12453.161"
"669","12454-105","N-terminal Xaa-Pro-Lys N-methyltransferase 1","NTM1A","Q9BV86","NTMT1","RFU",20,"865.0","NTMT1.12454.105"
"670","12455-48","Myoneurin","MYNN","Q9NPC7","MYNN","RFU",20,"537.3","MYNN.12455.48"
"671","12456-5","6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3","F263","Q16875","PFKFB3","RFU",20,"3085.2","PFKFB3.12456.5"
"672","12457-10","1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase","MTND","Q9BV57","ADI1","RFU",20,"1247.1","ADI1.12457.10"
"673","12458-79","Calcineurin B homologous protein 1","CHP1","Q99653","CHP1","RFU",20,"3178.1","CHP1.12458.79"
"674","12459-13","Pleckstrin homology domain-containing family A member 1","PKHA1","Q9HB21","PLEKHA1","RFU",20,"342.1","PLEKHA1.12459.13"
"677","12462-20","Histone-lysine N-methyltransferase SETMAR","SETMR","Q53H47","SETMAR","RFU",20,"526.3","SETMAR.12462.20"
"678","12463-7","Kelch-like protein 13","KLH13","Q9P2N7","KLHL13","RFU",20,"2827.7","KLHL13.12463.7"
"679","12466-7","Heterogeneous nuclear ribonucleoprotein A1","ROA1","P09651","HNRNPA1","RFU",0.5,"2874.7","HNRNPA1.12466.7"
"680","12469-19","Microtubule-associated protein RP/EB family member 1","MARE1","Q15691","MAPRE1","RFU",0.5,"2193.3","MAPRE1.12469.19"
"681","12471-47","Double-stranded RNA-binding protein Staufen homolog 1","STAU1","O95793","STAU1","RFU",20,"1366.9","STAU1.12471.47"
"682","12473-48","BTB/POZ domain-containing protein KCTD5","KCTD5","Q9NXV2","KCTD5","RFU",20,"709.3","KCTD5.12473.48"
"683","12475-48","Chloride intracellular channel protein 5","CLIC5","Q9NZA1","CLIC5","RFU",20,"5042.2","CLIC5.12475.48"
"684","12476-50","Fructose-2,6-bisphosphatase TIGAR","TIGAR","Q9NQ88","TIGAR","RFU",20,"1137.2","TIGAR.12476.50"
"685","12477-42","Translin","TSN","Q15631","TSN","RFU",20,"863.3","TSN.12477.42"
"686","12478-15","60S ribosomal protein L30","RL30","P62888","RPL30","RFU",20,"5243.9","RPL30.12478.15"
"687","12479-50","cAMP-dependent protein kinase type I-beta regulatory subunit","KAP1","P31321","PRKAR1B","RFU",20,"1809.5","PRKAR1B.12479.50"
"688","12482-5","Nucleosome-remodeling factor subunit BPTF","BPTF","Q12830","BPTF","RFU",20,"1230.0","BPTF.12482.5"
"689","12483-62","Nuclear receptor ROR-beta","RORB","Q92753","RORB","RFU",20,"662.2","RORB.12483.62"
"690","12484-67","Phosphatidylinositol transfer protein beta isoform","PIPNB","P48739","PITPNB","RFU",20,"2642.7","PITPNB.12484.67"
"691","12486-8","Glutaredoxin-2, mitochondrial","GLRX2","Q9NS18","GLRX2","RFU",20,"633.9","GLRX2.12486.8"
"692","12490-92","Ragulator complex protein LAMTOR3","LTOR3","Q9UHA4","LAMTOR3","RFU",20,"1985.4","LAMTOR3.12490.92"
"693","12493-42","Ubiquitin thioesterase OTUB2","OTUB2","Q96DC9","OTUB2","RFU",20,"506.1","OTUB2.12493.42"
"694","12494-99","Gamma-aminobutyric acid receptor-associated protein-like 2","GBRL2","P60520","GABARAPL2","RFU",0.5,"1345.3","GABARAPL2.12494.99"
"695","12497-29","Tudor-interacting repair regulator protein","SDOS","Q9BRJ7","NUDT16L1","RFU",20,"5679.2","NUDT16L1.12497.29"
"696","12498-12","Tax1-binding protein 3","TX1B3","O14907","TAX1BP3","RFU",20,"4238.6","TAX1BP3.12498.12"
"697","12499-108","Endophilin-A1","SH3G2","Q99962","SH3GL2","RFU",20,"2379.1","SH3GL2.12499.108"
"698","12501-10","Tubulin-specific chaperone A","TBCA","O75347","TBCA","RFU",0.5,"3235.7","TBCA.12501.10"
"699","12503-5","Ovarian cancer G-protein coupled receptor 1","SPR1","Q15743","GPR68","RFU",0.5,"775.7","GPR68.12503.5"
"700","12504-26","Leiomodin-1","LMOD1","P29536","LMOD1","RFU",20,"1909.3","LMOD1.12504.26"
"701","12507-16","Inositol-trisphosphate 3-kinase C","IP3KC","Q96DU7","ITPKC","RFU",20,"612.4","ITPKC.12507.16"
"702","12508-9","Charged multivesicular body protein 3","CHMP3","Q9Y3E7","VPS24","RFU",20,"2453.0","VPS24.12508.9"
"703","12509-115","COMM domain-containing protein 1","COMD1","Q8N668","COMMD1","RFU",20,"4256.9","COMMD1.12509.115"
"704","12510-3","Signal-transducing adaptor protein 1","STAP1","Q9ULZ2","STAP1","RFU",20,"2175.2","STAP1.12510.3"
"705","12511-83","Solute carrier family 41 member 2","S41A2","Q96JW4","SLC41A2","RFU",20,"891.6","SLC41A2.12511.83"
"706","12513-8","Glycolipid transfer protein","GLTP","Q9NZD2","GLTP","RFU",20,"1306.3","GLTP.12513.8"
"707","12514-16","tRNA (guanine-N(7)-)-methyltransferase","METTL1","Q9UBP6","METTL1","RFU",20,"1016.1","METTL1.12514.16"
"708","12515-45","Uridine-cytidine kinase 2","UCK2","Q9BZX2","UCK2","RFU",20,"987.4","UCK2.12515.45"
"709","12516-13","Transcriptional enhancer factor TEF-3","TEAD4","Q15561","TEAD4","RFU",20,"517.3","TEAD4.12516.13"
"710","12517-52","Programmed cell death protein 5","TFAR19","O14737","PDCD5","RFU",20,"11272.9","PDCD5.12517.52"
"711","12518-289","Protein polybromo-1","PB1","Q86U86","PBRM1","RFU",20,"640.6","PBRM1.12518.289"
"712","12521-3","Cyclin-dependent kinase 4 inhibitor C","CDN2C","P42773","CDKN2C","RFU",20,"658.3","CDKN2C.12521.3"
"713","12522-6","UV excision repair protein RAD23 homolog B","RD23B","P54727","RAD23B","RFU",20,"4937.1","RAD23B.12522.6"
"714","12524-18","Diamine acetyltransferase 2","SAT2","Q96F10","SAT2","RFU",20,"1110.5","SAT2.12524.18"
"715","12527-50","Thyroid hormone receptor alpha","THA","P10827","THRA","RFU",20,"1013.2","THRA.12527.50"
"716","12528-40","ATPase WRNIP1","WRIP1","Q96S55","WRNIP1","RFU",20,"520.4","WRNIP1.12528.40"
"717","12529-32","Inactive peptidyl-prolyl cis-trans isomerase FKBP6","FKBP6","O75344","FKBP6","RFU",0.5,"4437.7","FKBP6.12529.32"
"718","12530-14","Cyclin-dependent kinases regulatory subunit 1","CKS-1","P61024","CKS1B","RFU",20,"2989.1","CKS1B.12530.14"
"719","12531-5","Endogenous retrovirus group V member 1 Env polyprotein","ERVV1","B6SEH8","ERVV-1","RFU",20,"2772.9","ERVV.1.12531.5"
"720","12532-28","Ubiquitin-conjugating enzyme E2 R1","UB2R1","P49427","CDC34","RFU",20,"1285.5","CDC34.12532.28"
"721","12533-135","Cytohesin-2","CYH2","Q99418","CYTH2","RFU",20,"593.7","CYTH2.12533.135"
"722","12534-10","Calcium-binding and coiled-coil domain-containing protein 2","CACO2","Q13137","CALCOCO2","RFU",20,"1698.8","CALCOCO2.12534.10"
"723","12535-2","DNA repair protein XRCC1","XRCC1","P18887","XRCC1","RFU",20,"515.9","XRCC1.12535.2"
"724","12536-46","Myotubularin-related protein 6","MTMR6","Q9Y217","MTMR6","RFU",20,"248.2","MTMR6.12536.46"
"725","12537-88","Transcriptional activator protein Pur-alpha","PURA","Q00577","PURA","RFU",20,"1377.8","PURA.12537.88"
"726","12538-19","Regulator of G-protein signaling 7","RGS7","P49802","RGS7","RFU",20,"744.3","RGS7.12538.19"
"727","12540-25","Rho-related GTP-binding protein RhoG","RHOG","P84095","RHOG","RFU",0.5,"1397.1","RHOG.12540.25"
"728","12543-76","Zinc finger protein 560","ZN560","Q96MR9","ZNF560","RFU",20,"632.4","ZNF560.12543.76"
"729","12548-75","Ras-related GTP-binding protein C","RRAGC","Q9HB90","RRAGC","RFU",20,"408.2","RRAGC.12548.75"
"730","12549-33","Hematopoietic prostaglandin D synthase","PTGD2","O60760","HPGDS","RFU",20,"3195.1","HPGDS.12549.33"
"731","12551-3","E3 ubiquitin-protein ligase Itchy homolog","ITCH","Q96J02","ITCH","RFU",20,"1786.5","ITCH.12551.3"
"732","12553-5","Serine/threonine-protein kinase VRK1","VRK1","Q99986","VRK1","RFU",20,"631.8","VRK1.12553.5"
"733","12554-10","DNA repair protein RAD51 homolog 4","RA51D","O75771","RAD51L3","RFU",20,"1035.4","RAD51L3.12554.10"
"734","12556-7","Ubiquitin-conjugating enzyme E2 C","UBE2C","O00762","UBE2C","RFU",20,"578.6","UBE2C.12556.7"
"735","12557-18","RNA-binding protein Nova-1","NOVA1","P51513","NOVA1","RFU",20,"631.8","NOVA1.12557.18"
"736","12558-3","Ubiquitin-associated and SH3 domain-containing protein B","UBS3B","Q8TF42","UBASH3B","RFU",20,"1470.4","UBASH3B.12558.3"
"737","12560-9","5'(3')-deoxyribonucleotidase, cytosolic type","NT5C","Q8TCD5","NT5C","RFU",20,"1175.9","NT5C.12560.9"
"738","12562-1","Serine/threonine-protein kinase N1","PKN1","Q16512","PKN1","RFU",0.5,"1017.2","PKN1.12562.1"
"739","12563-2","Tumor necrosis factor alpha-induced protein 8","TFIP8","O95379","TNFAIP8","RFU",0.5,"1078.6","TNFAIP8.12563.2"
"740","12564-9","60S ribosome subunit biogenesis protein NIP7 homolog","NIP7","Q9Y221","NIP7","RFU",20,"1443.6","NIP7.12564.9"
"743","12571-14","ADP-ribosylation factor-like protein 3","ARL3","P36405","ARL3","RFU",20,"572.8","ARL3.12571.14"
"744","12572-236","Embryonal Fyn-associated substrate","EFS","O43281","EFS","RFU",0.5,"1184.6","EFS.12572.236"
"745","12573-80","Tripartite motif-containing protein 3","TRIM3","O75382","TRIM3","RFU",20,"373.6","TRIM3.12573.80"
"746","12575-30","C-1-tetrahydrofolate synthase, cytoplasmic","C1TC","P11586","MTHFD1","RFU",20,"4894.5","MTHFD1.12575.30"
"748","12577-100","Flap endonuclease 1","FLAP endonuclease-1","P39748","FEN1","RFU",20,"691.9","FEN1.12577.100"
"749","12578-13","ADP-ribosylation factor 3","ARF3","P61204","ARF3","RFU",20,"1585.3","ARF3.12578.13"
"750","12580-7","Proteasome subunit beta type-5","PSB5","P28074","PSMB5","RFU",20,"780.8","PSMB5.12580.7"
"751","12581-39","Inositol monophosphatase 2","IMPA2","O14732","IMPA2","RFU",20,"465.4","IMPA2.12581.39"
"752","12583-77","Serine/threonine-protein kinase A-Raf","ARAF","P10398","ARAF","RFU",20,"1051.1","ARAF.12583.77"
"753","12585-39","DNA excision repair protein ERCC-1","ERCC1","P07992","ERCC1","RFU",20,"405.9","ERCC1.12585.39"
"755","12591-27","Oligophrenin-1","Oligophrenin-1","O60890","OPHN1","RFU",20,"916.6","OPHN1.12591.27"
"756","12593-33","p53 and DNA damage-regulated protein 1","PDRG1","Q9NUG6","PDRG1","RFU",20,"1547.7","PDRG1.12593.33"
"757","12594-5","Grancalcin","GRAN","P28676","GCA","RFU",20,"349.6","GCA.12594.5"
"758","12595-11","Tropomodulin-1","TMOD1","P28289","TMOD1","RFU",20,"2086.2","TMOD1.12595.11"
"759","12597-68","Autophagy protein 5","Autophagy protein 5","Q9H1Y0","ATG5","RFU",20,"1631.1","ATG5.12597.68"
"760","12603-87","Polyadenylate-binding protein 4","PABP4","Q13310","PABPC4","RFU",20,"4457.7","PABPC4.12603.87"
"761","12604-16","Polycomb protein SCMH1","SCMH1","Q96GD3","SCMH1","RFU",20,"1444.0","SCMH1.12604.16"
"762","12605-1","Exosome complex component RRP40","Exosome component 3","Q9NQT5","EXOSC3","RFU",20,"1461.9","EXOSC3.12605.1"
"763","12612-37","Proteasome subunit beta type-1","PSB1","P20618","PSMB1","RFU",20,"2376.3","PSMB1.12612.37"
"764","12616-45","Nuclear receptor-binding protein","NRBP","Q9UHY1","NRBP1","RFU",20,"755.6","NRBP1.12616.45"
"765","12617-2","Serine/threonine-protein kinase 24","STK24","Q9Y6E0","STK24","RFU",20,"4266.9","STK24.12617.2"
"766","12618-50","Aldo-keto reductase family 1 member C1","Aldo-keto reductase 1C1","Q04828","AKR1C1","RFU",20,"206.6","AKR1C1.12618.50"
"767","12620-3","Septin-11","Septin-11","Q9NVA2","SEPT11","RFU",20,"1946.8","SEPT11.12620.3"
"768","12621-55","Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform","PP2AAA","P30153","PPP2R1A","RFU",20,"1863.7","PPP2R1A.12621.55"
"769","12622-96","Histone-lysine N-methyltransferase ASH1L","ASH1L","Q9NR48","ASH1L","RFU",20,"277.2","ASH1L.12622.96"
"770","12623-84","Protein Jumonji","JARD2","Q92833","JARID2","RFU",20,"547.5","JARID2.12623.84"
"771","12625-138","Kelch-like protein 7","KLHL7","Q8IXQ5","KLHL7","RFU",20,"790.7","KLHL7.12625.138"
"772","12626-6","Sentrin-specific protease 7","SENP7","Q9BQF6","SENP7","RFU",20,"203.4","SENP7.12626.6"
"774","12628-31","LanC-like protein 2","LANC2","Q9NS86","LANCL2","RFU",20,"2850.4","LANCL2.12628.31"
"775","12630-8","Arfaptin-2","ARFP2","P53365","ARFIP2","RFU",20,"1725.2","ARFIP2.12630.8"
"776","12632-14","Arylamine N-acetyltransferase 1","ARY1","P18440","NAT1","RFU",0.5,"1976.4","NAT1.12632.14"
"777","12633-3","Tyrosine-protein phosphatase non-receptor type 9","PTN9","P43378","PTPN9","RFU",20,"465.1","PTPN9.12633.3"
"778","12634-79","Breast cancer anti-estrogen resistance protein 3","BCAR3","O75815","BCAR3","RFU",20,"1161.7","BCAR3.12634.79"
"779","12635-9","tRNA (cytosine(38)-C(5))-methyltransferase","TRDMT","O14717","TRDMT1","RFU",20,"308.3","TRDMT1.12635.9"
"780","12636-113","N-lysine methyltransferase SMYD2","SMYD2","Q9NRG4","SMYD2","RFU",20,"239.1","SMYD2.12636.113"
"781","12637-7","Carnitine O-acetyltransferase","CACP","P43155","CRAT","RFU",20,"343.3","CRAT.12637.7"
"782","12641-3","Type II inositol 1,4,5-trisphosphate 5-phosphatase","I5P2","P32019","INPP5B","RFU",20,"470.0","INPP5B.12641.3"
"783","12643-4","Beta-arrestin-1","ARRB1","P49407","ARRB1","RFU",0.5,"1306.2","ARRB1.12643.4"
"784","12644-63","Adenylosuccinate synthetase isozyme 2","PURA2","P30520","ADSS","RFU",20,"391.8","ADSS.12644.63"
"785","12646-2","Ribulose-phosphate 3-epimerase","RPE","Q96AT9","RPE","RFU",20,"731.8","RPE.12646.2"
"786","12647-52","Histone-lysine N-methyltransferase SETD2","SETD2","Q9BYW2","SETD2","RFU",20,"189.1","SETD2.12647.52"
"787","12650-43","Guanine nucleotide-binding protein G(k) subunit alpha","GNAI3","P08754","GNAI3","RFU",20,"769.2","GNAI3.12650.43"
"788","12651-21","[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial","PDK2","Q15119","PDK2","RFU",20,"575.0","PDK2.12651.21"
"789","12652-37","Adenosylhomocysteinase 2","SAHH2","O43865","AHCYL1","RFU",20,"625.1","AHCYL1.12652.37"
"790","12653-13","Casein kinase I isoform gamma-2","CSNK1G2","P78368","CSNK1G2","RFU",20,"411.7","CSNK1G2.12653.13"
"791","12655-30","Beta-soluble NSF attachment protein","SNAB","Q9H115","NAPB","RFU",20,"1578.2","NAPB.12655.30"
"792","12656-1","Kinesin light chain 1","KLC1","Q07866","KLC1","RFU",20,"364.7","KLC1.12656.1"
"793","12658-72","Pantothenate kinase 3","PANK3","Q9H999","PANK3","RFU",0.5,"938.5","PANK3.12658.72"
"794","12659-13","Obg-like ATPase 1","GTPB9","Q9NTK5","OLA1","RFU",0.5,"1129.7","OLA1.12659.13"
"795","12661-44","Gamma-aminobutyric acid receptor-associated protein-like 1","GBRL1","Q9H0R8","GABARAPL1","RFU",0.5,"741.7","GABARAPL1.12661.44"
"796","12663-1","Thiosulfate sulfurtransferase","THTR","Q16762","TST","RFU",20,"1522.8","TST.12663.1"
"797","12664-19","Tyrosine-protein phosphatase non-receptor type 13","PTN13","Q12923","PTPN13","RFU",20,"218.4","PTPN13.12664.19"
"799","12667-2","Guanine deaminase","GUAD","Q9Y2T3","GDA","RFU",0.5,"2345.6","GDA.12667.2"
"800","12669-30","E3 ubiquitin-protein ligase HECW1","HECW1","Q76N89","HECW1","RFU",20,"314.5","HECW1.12669.30"
"801","12670-15","Cell cycle checkpoint protein RAD1","RAD1","O60671","RAD1","RFU",20,"289.3","RAD1.12670.15"
